journee,equipe,date,url,aic,points,classement,pred1,pred2,pred3,pred4,pred5,pred6,pred7,pred8,pred9,pred10,pred11,pred12,pred13,pred14,pred15,pred16,pred17,pred18,pred19,pred20,pred21,pred22,pred23,pred24,pred25,pred26,pred27,pred28,pred29,pred30,pred31,pred32,pred33,pred34,pred35,pred36,pred37,pred38
1,Angers,Aug 9 2015,http://www.lfp.fr/club/angers-sco,9,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,Angers,Aug 16 2015,http://www.lfp.fr/club/angers-sco,10,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
3,Angers,Aug 23 2015,http://www.lfp.fr/club/angers-sco,12,7,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
4,Angers,Aug 30 2015,http://www.lfp.fr/club/angers-sco,15,8,4,2,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
5,Angers,Sep 13 2015,http://www.lfp.fr/club/angers-sco,18,8,7,2,3,3,4,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
6,Angers,Sep 20 2015,http://www.lfp.fr/club/angers-sco,16,11,6,2,3,3,4,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
7,Angers,Sep 24 2015,http://www.lfp.fr/club/angers-sco,18,12,6,2,3,3,4,4,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
8,Angers,Sep 27 2015,http://www.lfp.fr/club/angers-sco,24,15,5,2,3,3,4,4,5,8,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
9,Angers,Oct 4 2015,http://www.lfp.fr/club/angers-sco,26,18,2,2,3,3,4,4,5,10,7,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
10,Angers,Oct 18 2015,http://www.lfp.fr/club/angers-sco,27,21,2,2,3,3,4,4,5,11,8,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
